Benchmark                                             (length)  Mode  Cnt       Score       Error  Units
Creation.intsArray                                          10  avgt   10      17.315 ±     0.123  ns/op
Creation.intsArray                                         100  avgt   10     175.281 ±     1.432  ns/op
Creation.intsArray                                        1000  avgt   10    1783.171 ±    22.923  ns/op
Creation.intsArray                                       10000  avgt   10   16268.248 ±   336.780  ns/op
Creation.intsArray                                      100000  avgt   10  160469.333 ±   917.267  ns/op
Creation.intsList                                           10  avgt   10      24.975 ±     0.135  ns/op
Creation.intsList                                          100  avgt   10     244.924 ±     3.859  ns/op
Creation.intsList                                         1000  avgt   10    2571.010 ±    17.236  ns/op
Creation.intsList                                        10000  avgt   10   23117.144 ±   577.294  ns/op
Creation.intsList                                       100000  avgt   10  232933.718 ±  3729.245  ns/op
Creation.intsSpecializedArray                               10  avgt   10       4.275 ±     0.043  ns/op
Creation.intsSpecializedArray                              100  avgt   10      27.637 ±     1.672  ns/op
Creation.intsSpecializedArray                             1000  avgt   10     240.893 ±     9.301  ns/op
Creation.intsSpecializedArray                            10000  avgt   10    2026.908 ±   133.502  ns/op
Creation.intsSpecializedArray                           100000  avgt   10   19247.607 ±   469.940  ns/op
Creation.objectsArray                                       10  avgt   10      15.795 ±     0.524  ns/op
Creation.objectsArray                                      100  avgt   10     153.362 ±     9.387  ns/op
Creation.objectsArray                                     1000  avgt   10    1528.258 ±   121.449  ns/op
Creation.objectsArray                                    10000  avgt   10   14889.555 ±   406.552  ns/op
Creation.objectsArray                                   100000  avgt   10  147581.074 ±  1252.884  ns/op
Creation.objectsList                                        10  avgt   10      23.004 ±     0.162  ns/op
Creation.objectsList                                       100  avgt   10     248.000 ±     3.902  ns/op
Creation.objectsList                                      1000  avgt   10    2233.621 ±    33.481  ns/op
Creation.objectsList                                     10000  avgt   10   20778.417 ±   152.802  ns/op
Creation.objectsList                                    100000  avgt   10  208197.320 ±  4269.147  ns/op
FilterIteration.intsArray                                   10  avgt   10      31.912 ±     2.244  ns/op
FilterIteration.intsArray                                  100  avgt   10     186.890 ±     7.669  ns/op
FilterIteration.intsArray                                 1000  avgt   10    1703.107 ±    60.362  ns/op
FilterIteration.intsArray                                10000  avgt   10   18114.283 ±   750.335  ns/op
FilterIteration.intsArray                               100000  avgt   10  172265.731 ±  7682.397  ns/op
FilterIteration.intsIfWithProgression                       10  avgt   10       4.825 ±     0.028  ns/op
FilterIteration.intsIfWithProgression                      100  avgt   10      33.618 ±     0.457  ns/op
FilterIteration.intsIfWithProgression                     1000  avgt   10     348.747 ±     8.279  ns/op
FilterIteration.intsIfWithProgression                    10000  avgt   10    3394.448 ±    82.105  ns/op
FilterIteration.intsIfWithProgression                   100000  avgt   10   33876.316 ±   760.659  ns/op
FilterIteration.intsIfWithSpecializedArray                  10  avgt   10       4.708 ±     0.761  ns/op
